ifs,id,PPPGDP,PPPPC,region,income,landlocked,resource rich,ss,Latitude,Longtitude,
853,PapuaNewGuinea,26.97303812,3494.788239,East Asia & Pacific,3,2,1,2,-6.314993,143.95555,
288,Paraguay,61.13970438,9050.016671,Latin America & Caribbean,2,1,2,2,-23.442503,-58.443832,
293,Peru,389.9207323,12518.32714,Latin America & Caribbean,2,2,1,2,-9.189967,-75.015152,
566,Philippines,743.8981588,7282.268192,East Asia & Pacific,2,2,2,2,12.879721,121.774017,
964,Poland,1007.113314,26499.06706,Europe & Central Asia,2,2,2,2,51.919438,19.145136,
182,Portugal,290.3171901,27885.27228,Europe & Central Asia,1,2,2,2,39.399872,-8.224454,
453,Qatar,321.6859963,132870.1728,Middle East & North Africa,2,2,1,2,25.354826,51.183884,
921,RepublicofMoldova,17.93952415,5047.486502,Europe & Central Asia,3,1,2,2,47.411631,28.369885,
968,Romania,414.7437864,20872.23266,Europe & Central Asia,2,2,2,2,45.943161,24.96676,
922,RussianFederation,3724.869617,25965.07469,Europe & Central Asia,2,2,1,2,61.52401,105.318756,
714,Rwanda,20.45741816,1810.166719,Sub-Saharan Africa,3,1,2,2,-1.940278,29.873888,
1137,SaintHelena,1,1,Latin America & Caribbean,,,,1,-24.143474,-10.030696,
361,SaintKittsandNevis,1.360743149,24476.16865,Latin America & Caribbean,2,2,2,1,17.357822,-62.782998,
362,SaintLucia,2.024702874,11710.03947,Latin America & Caribbean,3,2,2,1,13.909444,-60.978893,
1138,SaintPierreandMiquelon,1,1,Latin America & Caribbean,,,,1,46.941936,-56.27111,
364,SaintVincentandGrenadines,1.203066312,10937.36206,Latin America & Caribbean,3,2,2,1,12.984305,-61.287228,
862,Samoa,1.001930076,5183.258927,East Asia & Pacific,3,2,2,1,-13.759029,-172.104629,
135,SanMarino,1.976765587,62938.28282,Europe & Central Asia,1,1,2,2,43.94236,12.457777,
716,SaoTomeandPricipe,0.659123497,3250.420389,Sub-Saharan Africa,3,2,1,1,0.18636,6.613081,
456,SaudiArabia,1688.633284,53802.49113,Middle East & North Africa,2,2,1,2,23.885942,45.079162,
722,Senegal,36.76155319,2456.27948,Sub-Saharan Africa,3,2,2,2,14.497401,-14.452362,
942,Serbia,97.69995693,13699.2253,Europe & Central Asia,2,1,2,2,44.016521,21.005859,
718,Seychelles,2.45427335,26677.31543,Sub-Saharan Africa,2,2,2,1,-4.679574,55.491977,
724,SierraLeone,10.06593801,1592.963762,Sub-Saharan Africa,3,2,1,2,8.460555,-11.779889,
576,Singapore,472.5895498,85382.00163,East Asia & Pacific,1,2,2,2,1.352083,103.819836,
1139,SintMaarten,1,1,Latin America & Caribbean,,,,1,18.0708,-63.0501,
1140,Slovakia,1,1,Europe & Central Asia,,,,1,48.669026,19.699024,
961,Slovenia,63.78000455,30918.0321,Europe & Central Asia,1,2,2,2,46.151241,14.995463,
813,SolomonIslands,1.148441009,1954.54578,East Asia & Pacific,3,2,2,1,-9.64571,160.156194,
726,Somalia,1,1,Sub-Saharan Africa,3,2,2,2,5.152149,46.199616,
199,SouthAfrica,725.9082725,13208.659,Sub-Saharan Africa,2,2,2,2,-30.559482,22.937506,
733,SouthSudan,23.72603747,1994.969237,Sub-Saharan Africa,3,1,2,2,12.862807,30.217636,
